,model,price,spec_score,processor,core_threads,ram,ssd,graphics,display,os,extra_info
0,Lenovo V15 ITL G2 82KBA033IH Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹33,921",62,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
1,HP Pavilion 15-ec2004AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹56,150",66,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
2,Lenovo V15 82KBA03HIH Laptop (11th Gen Core i3/ 8GB/ 1TB 256GB SSD/ Win11 Home),"₹35,499",66,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
3,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),"₹48,990",66,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Vega 7,"16 inches, 1200 x 1920 pixels",Windows 11 OS,1 Year Warranty
4,HP 15s-fr4000TU Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹52,990",63,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
5,Lenovo IdeaPad Gaming 3 82K101ECIN Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),"₹56,700",73,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
6,Infinix Zero Book Ultra Laptop (12th Gen Core i9/ 16GB/ 512 SSD/ Win 11 Home),"₹87,620",65,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",16 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,Backlit Keyboard
7,HP 15s-eq1559AU Laptop (AMD Athlon Silver 3050U/ 8GB/ 512GB/ Win11),"₹29,212",57,3rd Gen AMD Athlon Silver 3050U,"Dual Core, 2 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
8,Dell Inspiron 3520 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹44,087",61,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
9,Dell Inspiron 3511 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹38,800",59,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.56 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
10,Asus Vivobook Pro 15 OLED M6500QH-HN701WS Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹65,990",68,5th Gen AMD Ryzen 7 5800H ,"Octa Core, 16 Threads",16 GB DDR4  RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
11,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB/ MacOS),"₹83,900",47,Apple M1,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB SSD,Apple M1 Integrated Graphics,"13.3 inches, 2560 x 1600 pixels",Mac OS,1 Year Warranty
12,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹46,790",60,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
13,HP 15s-fq5111TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹58,530",61,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
14,Dell Inspiron 3520 D560871WIN9B Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹57,223",55,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
